,Year,M_imm,Other_mortality,N_imm,Recruitment,Abundance,Temperature,Size,stock,coldpool,lag_cold,ice,lag_ice,imm_sd,mat_sd,p_mort_mat,p_mort_imm,ma2,temp_imm,temp_mat
1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237644,NA,NA,NA,NA,NA,,,
2,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292170,237644,NA,NA,NA,NA,,,
3,1982,0.229713,0.363328,0.247500867,0.265640911,0.530607562,1.759554196,70.98304006,Snow,211250,NA,280293,292170,0.74969,1.1047,0.304641681,0.205238334,-0.32825,1.846827823,1.670157759
4,1983,0.170636,0.835615,0.211774027,0.188071127,0.663337446,0.865363551,63.80848744,Snow,161525,211250,302066,280293,0.6835,0.54106,0.566392269,0.156871584,0.29525,0.355280623,1.688600665
5,1984,0.147349,1.72847,0.209085768,0.262393835,0.471476768,-0.291665638,63.11994562,Snow,207575,161525,328710,302066,0.66841,0.31771,0.822444137,0.13700726,0.025,-0.796876603,0.371900995
6,1985,0.0912786,0.266539,0.262310648,0.715329369,0.177899285,0.701307941,68.86727399,Snow,205000,207575,282936,328710,0.61962,0.77598,0.233973872,0.08723662,-1.1915,0.240809911,1.292010126
7,1986,0.0828744,0.12809,0.463412885,1,0.310747274,-0.092807869,57.20543697,Snow,257925,205000,273052,282936,0.61025,0.72734,0.120225804,0.079533249,-1.6595,-0.070946879,0.568163502
8,1987,0.104313,0.179766,0.506198247,0.857432271,0.54215621,1.648337682,55.3767579,Snow,94475,257925,287074,273052,0.62981,0.77423,0.164534312,0.099056742,-0.40875,1.59335141,2.382994094
9,1988,0.131554,0.350091,0.50081721,0.368597537,0.844163179,-0.050186344,60.80514488,Snow,205925,94475,285035,287074,0.64606,0.76529,0.295376034,0.12326807,-0.46775,-0.253839428,0.683324234
10,1989,0.17197,0.4094,0.459477755,0.104487333,0.891882766,1.969455065,67.05613261,Snow,106025,205925,298563,285035,0.66799,0.7192,0.33595144,0.157995567,2.00725,1.905571802,2.712637324
11,1990,0.216647,0.581228,0.435738742,0.092928038,0.916143381,0.19385236,75.38602237,Snow,182350,106025,313723,298563,0.69215,0.66399,0.440788767,0.19478584,0.94825,-0.544909555,0.722172838
12,1991,0.282267,1.25632,0.628115346,0.126995467,0.763892408,0.96627212,62.99241731,Snow,166900,182350,325823,313723,0.70133,0.36049,0.715300204,0.24592768,0.41125,0.608883066,1.619644012
