"","Year","Imm_mort","Large mortality","Mat_mort","Rec","Temp","NAO","mat_n","imm_n","f_mort"
"1",1990,NA,NA,NA,11886800000,NA,3.33,NA,NA,NA
"2",1991,NA,NA,NA,8634870000,NA,0.03,NA,NA,NA
"3",1992,NA,NA,NA,5272390000,NA,2.05333333333333,NA,NA,NA
"4",1993,NA,NA,NA,5662040000,NA,0.803333333333333,NA,NA,NA
"5",1994,NA,NA,NA,4216470000,NA,1.71,NA,NA,NA
"6",1995,0.678733,1.20329,1.20329,3470270000,0.949340567792018,0.793333333333333,4988111303,14392370121.5457,0.42846
"7",1996,1.05717,0.690361,0.690361,4632780000,1.39949541230807,-1,3810515930,13360942870.7,0.324349
"8",1997,0.309104,0.788107,0.788107,2459480000,1.54680643564356,2.12666666666667,4641509790,7824578938.2,0.372934
"9",1998,1.25571,1.94221,1.94221,3414470000,1.7194261820644,1.09666666666667,3561114890,8532813950,1.41412
"10",1999,0.278897,0.727175,0.727175,5395040000,2.33127886590023,0.503333333333333,1216030780,4780435661.3,1.0191
"11",2000,0.615327,1.01545,1.01545,6711450000,1.4774476937708,0.523333333333333,1301837010,6416200570.6,1.20503
"12",2001,0.941839,0.935258,0.935258,4176750000,1.02391145099038,0.21,1123641830,5303860063.4,1.25967
"13",2002,0.633476,0.797778,0.797778,3811010000,0.766666750814764,1.33666666666667,1055960420,4526247961.27,3.12083
"14",2003,0.521241,0.355726,0.355726,2516920000,0.828046710548298,0.226666666666667,1100181074,3517950543,3.5994
"15",2004,1.07097,0.376008,0.376008,210359000,1.70141794651652,0.306666666666667,1306632868,4218585068.9,1.46643
"16",2005,0.267185,0.36521,0.36521,967442000,1.2800003250196,-0.943333333333333,1817124540,4152391405.4,1.08355
"17",2006,0.762334,0.392908,0.392908,1022370000,1.33466064440036,-0.596666666666667,2590884880,7709809400,1.08114
"18",2007,0.117783,0.624331,0.624331,803983000,1.3235438372524,0.783333333333333,3067705040,5440097572.3,1.12134
"19",2008,0.392951,1.14652,1.14652,2225780000,0.987935657962432,0.0466666666666667,2787980130,6942271681,1.09529
"20",2009,0.763939,1.02626,1.02626,1936910000,1.53036743629465,0.153333333333333,2167055610,4966328075,1.17266
"21",2010,0.619064,1.11741,1.11741,1018680000,2.37604849819174,-1.91666666666667,1216429001,1876899310,1.756
"22",2011,0.27919,0.430018,0.430018,3592570000,2.28075488442392,1.67,635771582,1364075555,1.37494
"23",2012,0.0426047,0.432307,0.432307,3370360000,1.34199206522093,0.233333333333333,559896980,1676071560,1.20523
"24",2013,0.0763909,0.840876,0.840876,2916340000,1.14692494164123,-1.32666666666667,736225900,1856878403.1,1.22532
"25",2014,1.20067,0.988705,0.988705,6626930000,1.86239116440271,1.6,910533700,2959369148.1,1.836
"26",2015,0.135778,0.208844,0.208844,1558080000,1.16731272171295,1.49666666666667,825499979,1566117240,1.71796
"27",2016,0.157784,0.262438,0.262438,1871770000,1.29704529563975,-0.04,1091775984,1813815954.1,1.69088
"28",2017,0.411789,0.700169,0.700169,510162000,0.822025353310526,1.31,1984751664,3639202767.3,1.19025
"29",2018,0.0429231,0.416312,0.416312,3122770000,1.27001084661408,0.383333333333333,1943792699,4114969071,0.808525
"30",2019,0.0516641,0.743857,0.743857,NA,1.13501689230845,1.99666666666667,2344556520,5501422531,0.686863
"31",2020,0.679913,0.881662,0.881662,NA,1.88069163861812,1.45,2606418110,9654467552,0.652917
"32",2021,0.689483,1.48788,1.48788,NA,2.58255121619112,-0.696666666666667,2330242690,4637791517.7,0.976355
"33",2022,0.741182,1.34137,1.34137,NA,2.35542012429552,0.236666666666667,1254289460,2626245920,1.31094
"34",2023,0.0334501,0.638586,0.638586,NA,1.55301289747231,0.00333333333333337,602192552,1189082766.5,1.76018
