"","values","Year","process","species","species_process"
"1",1277340000,1977,"Recruitment","Bering Sea","Bering Sea_R"
"2",1244630000,1978,"Recruitment","Bering Sea","Bering Sea_R"
"3",1802550000,1979,"Recruitment","Bering Sea","Bering Sea_R"
"4",3807550000,1980,"Recruitment","Bering Sea","Bering Sea_R"
"5",2041060000,1981,"Recruitment","Bering Sea","Bering Sea_R"
"6",1977330000,1982,"Recruitment","Bering Sea","Bering Sea_R"
"7",1399930000,1983,"Recruitment","Bering Sea","Bering Sea_R"
"8",1953160000,1984,"Recruitment","Bering Sea","Bering Sea_R"
"9",5324640000,1985,"Recruitment","Bering Sea","Bering Sea_R"
"10",7443620000,1986,"Recruitment","Bering Sea","Bering Sea_R"
"11",6382400000,1987,"Recruitment","Bering Sea","Bering Sea_R"
"12",2743700000,1988,"Recruitment","Bering Sea","Bering Sea_R"
"13",777764000,1989,"Recruitment","Bering Sea","Bering Sea_R"
"14",691721000,1990,"Recruitment","Bering Sea","Bering Sea_R"
"15",945306000,1991,"Recruitment","Bering Sea","Bering Sea_R"
"16",970098000,1992,"Recruitment","Bering Sea","Bering Sea_R"
"17",830235000,1993,"Recruitment","Bering Sea","Bering Sea_R"
"18",577750000,1994,"Recruitment","Bering Sea","Bering Sea_R"
"19",716564000,1995,"Recruitment","Bering Sea","Bering Sea_R"
"20",1696520000,1996,"Recruitment","Bering Sea","Bering Sea_R"
"21",1814850000,1997,"Recruitment","Bering Sea","Bering Sea_R"
"22",1792580000,1998,"Recruitment","Bering Sea","Bering Sea_R"
"23",1570170000,1999,"Recruitment","Bering Sea","Bering Sea_R"
"24",807515000,2000,"Recruitment","Bering Sea","Bering Sea_R"
"25",355932000,2001,"Recruitment","Bering Sea","Bering Sea_R"
"26",1141960000,2002,"Recruitment","Bering Sea","Bering Sea_R"
"27",2809640000,2003,"Recruitment","Bering Sea","Bering Sea_R"
"28",1553820000,2004,"Recruitment","Bering Sea","Bering Sea_R"
"29",1272320000,2005,"Recruitment","Bering Sea","Bering Sea_R"
"30",1300460000,2006,"Recruitment","Bering Sea","Bering Sea_R"
"31",1412560000,2007,"Recruitment","Bering Sea","Bering Sea_R"
"32",1665170000,2008,"Recruitment","Bering Sea","Bering Sea_R"
"33",7351800000,2009,"Recruitment","Bering Sea","Bering Sea_R"
"34",6869590000,2010,"Recruitment","Bering Sea","Bering Sea_R"
"35",5116200000,2011,"Recruitment","Bering Sea","Bering Sea_R"
"36",492236000,2012,"Recruitment","Bering Sea","Bering Sea_R"
"37",175007000,2013,"Recruitment","Bering Sea","Bering Sea_R"
"38",130964000,2014,"Recruitment","Bering Sea","Bering Sea_R"
"39",303687000,2015,"Recruitment","Bering Sea","Bering Sea_R"
"40",577925000,2016,"Recruitment","Bering Sea","Bering Sea_R"
"41",3125320000,2017,"Recruitment","Bering Sea","Bering Sea_R"
"42",1357530000,2018,"Recruitment","Bering Sea","Bering Sea_R"
"43",0.229713,1982,"M_imm","Bering Sea","Bering Sea_M"
"44",0.170636,1983,"M_imm","Bering Sea","Bering Sea_M"
"45",0.147349,1984,"M_imm","Bering Sea","Bering Sea_M"
"46",0.0912786,1985,"M_imm","Bering Sea","Bering Sea_M"
"47",0.0828744,1986,"M_imm","Bering Sea","Bering Sea_M"
"48",0.104313,1987,"M_imm","Bering Sea","Bering Sea_M"
"49",0.131554,1988,"M_imm","Bering Sea","Bering Sea_M"
"50",0.17197,1989,"M_imm","Bering Sea","Bering Sea_M"
"51",0.216647,1990,"M_imm","Bering Sea","Bering Sea_M"
"52",0.282267,1991,"M_imm","Bering Sea","Bering Sea_M"
"53",0.250983,1992,"M_imm","Bering Sea","Bering Sea_M"
"54",0.311791,1993,"M_imm","Bering Sea","Bering Sea_M"
"55",0.295833,1994,"M_imm","Bering Sea","Bering Sea_M"
"56",0.325076,1995,"M_imm","Bering Sea","Bering Sea_M"
"57",0.451671,1996,"M_imm","Bering Sea","Bering Sea_M"
"58",0.512897,1997,"M_imm","Bering Sea","Bering Sea_M"
"59",0.323357,1998,"M_imm","Bering Sea","Bering Sea_M"
"60",0.130247,1999,"M_imm","Bering Sea","Bering Sea_M"
"61",0.164037,2000,"M_imm","Bering Sea","Bering Sea_M"
"62",0.325,2001,"M_imm","Bering Sea","Bering Sea_M"
"63",0.222803,2002,"M_imm","Bering Sea","Bering Sea_M"
"64",0.194102,2003,"M_imm","Bering Sea","Bering Sea_M"
"65",0.185797,2004,"M_imm","Bering Sea","Bering Sea_M"
"66",0.199325,2005,"M_imm","Bering Sea","Bering Sea_M"
"67",0.170999,2006,"M_imm","Bering Sea","Bering Sea_M"
"68",0.187247,2007,"M_imm","Bering Sea","Bering Sea_M"
"69",0.163732,2008,"M_imm","Bering Sea","Bering Sea_M"
"70",0.17621,2009,"M_imm","Bering Sea","Bering Sea_M"
"71",0.358843,2010,"M_imm","Bering Sea","Bering Sea_M"
"72",0.344439,2011,"M_imm","Bering Sea","Bering Sea_M"
"73",0.26429,2012,"M_imm","Bering Sea","Bering Sea_M"
"74",0.252643,2013,"M_imm","Bering Sea","Bering Sea_M"
"75",0.479842,2014,"M_imm","Bering Sea","Bering Sea_M"
"76",0.429726,2015,"M_imm","Bering Sea","Bering Sea_M"
"77",0.225794,2016,"M_imm","Bering Sea","Bering Sea_M"
"78",0.178123,2017,"M_imm","Bering Sea","Bering Sea_M"
"79",0.436927,2018,"M_imm","Bering Sea","Bering Sea_M"
"80",1.73184,2019,"M_imm","Bering Sea","Bering Sea_M"
"81",0.258453,2020,"M_imm","Bering Sea","Bering Sea_M"
"82",0.118208,2021,"M_imm","Bering Sea","Bering Sea_M"
"83",0.19728,2022,"M_imm","Bering Sea","Bering Sea_M"
"84",0.335729,2023,"M_imm","Bering Sea","Bering Sea_M"
"85",0.363328,1982,"M_mat","Bering Sea","Bering Sea_M"
"86",0.835615,1983,"M_mat","Bering Sea","Bering Sea_M"
"87",1.72847,1984,"M_mat","Bering Sea","Bering Sea_M"
"88",0.266539,1985,"M_mat","Bering Sea","Bering Sea_M"
"89",0.12809,1986,"M_mat","Bering Sea","Bering Sea_M"
"90",0.179766,1987,"M_mat","Bering Sea","Bering Sea_M"
"91",0.350091,1988,"M_mat","Bering Sea","Bering Sea_M"
"92",0.4094,1989,"M_mat","Bering Sea","Bering Sea_M"
"93",0.581228,1990,"M_mat","Bering Sea","Bering Sea_M"
"94",1.25632,1991,"M_mat","Bering Sea","Bering Sea_M"
"95",0.497953,1992,"M_mat","Bering Sea","Bering Sea_M"
"96",0.455592,1993,"M_mat","Bering Sea","Bering Sea_M"
"97",0.504422,1994,"M_mat","Bering Sea","Bering Sea_M"
"98",0.851511,1995,"M_mat","Bering Sea","Bering Sea_M"
"99",0.79172,1996,"M_mat","Bering Sea","Bering Sea_M"
"100",0.799868,1997,"M_mat","Bering Sea","Bering Sea_M"
