"","Year","Temperature","Size","stock"
"1",1982,1.75955419617351,70.9830400623496,"Snow"
"2",1983,0.865363551154144,63.8084874409392,"Snow"
"3",1984,-0.291665637770214,63.1199456191106,"Snow"
"4",1985,0.701307941307843,68.8672739886393,"Snow"
"5",1986,-0.0928078687068454,57.205436969087,"Snow"
"6",1987,1.64833768151039,55.3767579035019,"Snow"
"7",1988,-0.0501863444956086,60.8051448847005,"Snow"
"8",1989,1.96945506543723,67.0561326147778,"Snow"
"9",1990,0.193852360272407,75.3860223681652,"Snow"
"10",1991,0.966272119973389,62.9924173146305,"Snow"
"11",1992,0.608247814674557,55.5774230925986,"Snow"
"12",1993,0.944682976390697,50.9817479434454,"Snow"
"13",1994,-0.840052245154229,53.7850742503169,"Snow"
"14",1995,-0.328181200863411,61.9687092257755,"Snow"
"15",1996,1.521004364334,72.9292358271642,"Snow"
"16",1997,0.882697882915158,81.8906964274376,"Snow"
"17",1998,1.75083542380755,76.3651365286356,"Snow"
"18",1999,-0.408207007252211,69.1082094431397,"Snow"
"19",2000,0.345394532351253,59.6978922788542,"Snow"
"20",2001,0.658084706982431,64.8009159481214,"Snow"
"21",2002,1.20354725463178,71.3172303648652,"Snow"
"22",2003,1.20005501949799,56.2454766501187,"Snow"
"23",2004,0.827136557148725,51.8566640901876,"Snow"
"24",2005,1.12347284076635,62.2736386146375,"Snow"
"25",2006,-0.779244291856794,65.2637419941433,"Snow"
"26",2007,-0.49333856813333,67.7476776438887,"Snow"
"27",2008,-0.496368402675836,66.5996629523903,"Snow"
"28",2009,-0.518876901676088,63.8707734516127,"Snow"
"29",2010,-0.115314052783019,54.231372731572,"Snow"
"30",2011,0.854918287936445,60.7730434770137,"Snow"
"31",2012,-0.422941525581557,60.6235660254929,"Snow"
"32",2013,-0.19034383302151,62.1508517812936,"Snow"
"33",2014,1.63993090050087,62.6092027762859,"Snow"
"34",2015,-0.257681971556549,50.0347759967483,"Snow"
"35",2016,-0.141843079238336,45.6234181776189,"Snow"
"36",2017,-0.190629655190005,49.8841325912829,"Snow"
"37",2018,3.24929175368596,57.1920758924424,"Snow"
"38",2019,2.48301307710642,70.6261212020591,"Snow"
"39",2021,2.3408235685255,80.4756808126555,"Snow"
"40",2022,-0.375058470739248,53.0190519654352,"Snow"
"41",2023,-0.813732321839621,45.4215921279114,"Snow"
"42",1975,1.6608971376643,113.079952531023,"Tanner"
"43",1976,1.94923909108623,98.7116676922708,"Tanner"
"44",1977,3.51264579749842,91.6101333308794,"Tanner"
"45",1978,3.52229540263863,89.8558961130503,"Tanner"
"46",1979,4.21106797889756,93.2781561581405,"Tanner"
"47",1980,3.56526792777376,85.0313685619366,"Tanner"
"48",1981,3.89990518178526,92.5731739337915,"Tanner"
"49",1982,3.17515488080776,98.610361139657,"Tanner"
"50",1983,3.67224604475896,66.3019553419166,"Tanner"
"51",1984,3.1996235608834,75.6411922358033,"Tanner"
"52",1985,2.83733124901523,82.2943035321793,"Tanner"
"53",1986,1.96271391726666,75.563472077792,"Tanner"
"54",1987,3.44150755876058,73.751973525692,"Tanner"
