"","stock","est_m","up_m","dn_m","sd","Year"
"1","Bering Sea",1277300000,2000559600,554040400,369010000,1982
"2","Bering Sea",1244600000,1954002400,535197600,361940000,1983
"3","Bering Sea",1802500000,2772798000,832202000,495050000,1984
"4","Bering Sea",3807500000,5330949200,2284050800,777270000,1985
"5","Bering Sea",2041100000,3285033600,797166400,634660000,1986
"6","Bering Sea",1977300000,3157847200,796752800,602320000,1987
"7","Bering Sea",1399900000,2537680000,262120000,580500000,1988
"8","Bering Sea",1953200000,3427825600,478574400,752360000,1989
"9","Bering Sea",5324600000,8447076000,2202124000,1593100000,1990
"10","Bering Sea",7443600000,11586256000,3300944000,2113600000,1991
"11","Bering Sea",6382400000,10082684000,2682116000,1887900000,1992
"12","Bering Sea",2743700000,4588550000,898850000,941250000,1993
"13","Bering Sea",777760000,1590846400,0,414840000,1994
"14","Bering Sea",691720000,1369978000,13462000,346050000,1995
"15","Bering Sea",945310000,1637778000,252842000,353300000,1996
"16","Bering Sea",970100000,1574485600,365714400,308360000,1997
"17","Bering Sea",830230000,1301316000,359144000,240350000,1998
"18","Bering Sea",577750000,1004128400,151371600,217540000,1999
"19","Bering Sea",716560000,1314066000,119054000,304850000,2000
"20","Bering Sea",1696500000,2649844000,743156000,486400000,2001
"21","Bering Sea",1814900000,2844037200,785762800,525070000,2002
"22","Bering Sea",1792600000,2795747600,789452400,511810000,2003
"23","Bering Sea",1570200000,2428542800,711857200,437930000,2004
"24","Bering Sea",807510000,1409582800,205437200,307180000,2005
"25","Bering Sea",355930000,816000800,0,234730000,2006
"26","Bering Sea",1.142e+09,1897384000,386616000,385400000,2007
"27","Bering Sea",2809600000,4324052800,1295147200,772680000,2008
"28","Bering Sea",1553800000,2711101600,396498400,590460000,2009
"29","Bering Sea",1272300000,2190266000,354334000,468350000,2010
"30","Bering Sea",1300500000,2179560000,421440000,448500000,2011
"31","Bering Sea",1412600000,2390444000,434756000,498900000,2012
"32","Bering Sea",1665200000,3187336000,143064000,776600000,2013
"33","Bering Sea",7351800000,11567760000,3135840000,2.151e+09,2014
"34","Bering Sea",6869600000,10665140000,3074060000,1936500000,2015
