ParName   Value   Gradient
log_n_imm(1)      18.5624 -4.02499e-06
log_n_imm(2)      19.6728 -6.58354e-06
log_n_imm(3)      19.7547 -3.85943e-05
log_n_imm(4)      19.9026 -5.71604e-05
log_n_imm(5)      19.8713 -4.93763e-05
log_n_imm(6)      19.7894 -3.20315e-05
log_n_imm(7)      19.4941 -1.34509e-05
log_n_imm(8)      19.4073 -2.13723e-05
log_n_imm(9)      19.3792 -1.50365e-05
log_n_imm(10)      18.8505 -6.82982e-06
log_n_imm(11)      18.3242 -4.75963e-06
log_n_imm(12)      18.3689  -2.7937e-06
log_n_imm(13)      17.8283 -2.32615e-06
log_n_imm(14)      16.7966 -7.31078e-07
log_n_imm(15)      15.2468 -3.02378e-06
log_n_imm(16)      13.2766 -2.52137e-07
log_n_imm(17)       11.971 -1.05156e-06
log_n_imm(18)      10.3163 -2.16224e-08
log_n_imm(19)       9.6052  7.74409e-08
log_n_imm(20)      8.24101  5.10667e-07
log_n_imm(21)      6.50561 -1.40036e-07
log_n_mat(1)      17.7546 -2.17665e-06
log_n_mat(2)      11.5477 -3.19042e-08
log_n_mat(3)      15.7576 -1.10239e-06
log_n_mat(4)      17.4077  6.69096e-07
log_n_mat(5)      18.3653 -5.95583e-06
log_n_mat(6)      18.9528  1.89282e-06
log_n_mat(7)      19.0075  2.98315e-07
log_n_mat(8)      18.8873  -8.3444e-06
log_n_mat(9)      18.9275  3.11523e-06
log_n_mat(10)      19.0203 -5.14682e-06
log_n_mat(11)      18.8415 -1.55452e-05
log_n_mat(12)      18.4289  2.34253e-06
log_n_mat(13)      18.0582 -2.23709e-06
log_n_mat(14)      18.2774 -1.00223e-05
log_n_mat(15)       18.209 -1.65587e-05
log_n_mat(16)      17.5263 -3.51999e-06
log_n_mat(17)      16.6926 -4.21271e-06
log_n_mat(18)      15.6786  6.64238e-07
log_n_mat(19)      14.6323 -7.22307e-07
log_n_mat(20)      13.3564 -1.28775e-06
log_n_mat(21)      12.0373 -1.38989e-06
nat_m_dev(1982)    -0.117884  0.000143467
nat_m_dev(1983)    -0.415182  0.000136218
nat_m_dev(1984)    -0.561908  0.000131459
nat_m_dev(1985)      -1.0408  0.000120785
nat_m_dev(1986)     -1.13739    0.0001196
nat_m_dev(1987)     -0.90732  0.000116412
nat_m_dev(1988)    -0.675298  0.000115554
nat_m_dev(1989)    -0.407395  0.000113052
nat_m_dev(1990)    -0.176443  0.000113702
nat_m_dev(1991)    0.0881398  0.000113292
nat_m_dev(1992)   -0.0293266  0.000115484
nat_m_dev(1993)     0.187619   0.00011164
nat_m_dev(1994)     0.135082  0.000115046
nat_m_dev(1995)     0.229346  0.000123207
nat_m_dev(1996)     0.558242  0.000128051
nat_m_dev(1997)     0.685362  0.000114368
nat_m_dev(1998)     0.224044  0.000102536
nat_m_dev(1999)    -0.685281  9.55867e-05
nat_m_dev(2000)    -0.454619  9.12314e-05
nat_m_dev(2001)     0.229111  8.16415e-05
nat_m_dev(2002)    -0.148424  8.92474e-05
nat_m_dev(2003)     -0.28633   0.00010105
nat_m_dev(2004)     -0.33006  0.000109581
nat_m_dev(2005)    -0.259779  0.000109043
nat_m_dev(2006)    -0.413056  0.000114902
nat_m_dev(2007)    -0.322285  0.000117803
nat_m_dev(2008)    -0.456484  0.000125287
nat_m_dev(2009)    -0.383039  0.000140835
nat_m_dev(2010)     0.328172  0.000191587
nat_m_dev(2011)     0.287204  0.000163428
nat_m_dev(2012)    0.0223332  0.000161025
nat_m_dev(2013)   -0.0227376   0.00015313
nat_m_dev(2014)     0.618744  0.000141583
nat_m_dev(2015)     0.508435  0.000152284
nat_m_dev(2016)     -0.13509  0.000149981
nat_m_dev(2017)    -0.372239  0.000145781
nat_m_dev(2018)     0.525052  0.000156995
nat_m_dev(2019)      1.90223  0.000113753
nat_m_dev(2020)            0 -6.81672e-06
nat_m_dev(2021)    -0.782266  0.000122043
nat_m_dev(2022)    -0.270088  0.000121545
nat_m_dev(2023)      0.26159  0.000126543
nat_m_mat_dev(1982)    -0.238183  -1.4765e-05
nat_m_mat_dev(1983)     0.594679  1.32037e-06
nat_m_mat_dev(1984)       1.3215    1.624e-05
nat_m_mat_dev(1985)     -0.54797 -1.63566e-05
nat_m_mat_dev(1986)     -1.28076 -2.25772e-05
nat_m_mat_dev(1987)    -0.941832 -2.05883e-05
nat_m_mat_dev(1988)    -0.275298  -2.4397e-05
nat_m_mat_dev(1989)    -0.118796 -2.34708e-05
nat_m_mat_dev(1990)     0.231654 -2.60437e-05
nat_m_mat_dev(1991)      1.00245 -3.10724e-05
nat_m_mat_dev(1992)    0.0770168 -3.00502e-05
nat_m_mat_dev(1993)   -0.0118915 -2.99833e-05
nat_m_mat_dev(1994)    0.0899237  -2.6765e-05
nat_m_mat_dev(1995)     0.613523 -1.80519e-05
nat_m_mat_dev(1996)     0.540717 -1.80854e-05
nat_m_mat_dev(1997)     0.550957 -1.58264e-05
nat_m_mat_dev(1998)     0.686791 -1.13871e-05
nat_m_mat_dev(1999)    -0.482348 -1.83817e-05
nat_m_mat_dev(2000)    -0.638288 -2.46929e-05
nat_m_mat_dev(2001)     0.343468 -3.61027e-05
nat_m_mat_dev(2002)     0.229455 -4.87873e-05
nat_m_mat_dev(2003)    -0.300276 -5.44328e-05
nat_m_mat_dev(2004)    -0.375184 -5.15135e-05
nat_m_mat_dev(2005)     0.426946 -4.95375e-05
nat_m_mat_dev(2006)     0.625439 -4.40837e-05
nat_m_mat_dev(2007)     0.537189 -3.02263e-05
nat_m_mat_dev(2008)    0.0451626 -3.28258e-05
nat_m_mat_dev(2009)    -0.802006 -2.96505e-05
nat_m_mat_dev(2010)    -0.877896 -2.71049e-05
nat_m_mat_dev(2011)    -0.230556 -2.12201e-05
nat_m_mat_dev(2012)     0.716383 -2.88401e-06
nat_m_mat_dev(2013)     0.131196 -2.69006e-07
nat_m_mat_dev(2014)     0.590648  1.79858e-05
nat_m_mat_dev(2015)     0.273939  4.00595e-06
nat_m_mat_dev(2016)   -0.0776492 -8.58249e-06
nat_m_mat_dev(2017)    0.0254039 -1.15636e-05
nat_m_mat_dev(2018)     0.810003 -3.95948e-06
nat_m_mat_dev(2019)        1.242  2.59627e-05
nat_m_mat_dev(2020)            0 -9.65746e-06
nat_m_mat_dev(2021)     0.674512 -1.00813e-05
nat_m_mat_dev(2022)     -0.10363 -2.36346e-05
nat_m_mat_dev(2023)     -1.07835 -2.19221e-05
nat_m_lg_dev(1982)            0            0
nat_m_lg_dev(1983)            0            0
nat_m_lg_dev(1984)            0            0
nat_m_lg_dev(1985)            0            0
nat_m_lg_dev(1986)            0            0
nat_m_lg_dev(1987)            0            0
nat_m_lg_dev(1988)            0            0
nat_m_lg_dev(1989)            0            0
nat_m_lg_dev(1990)            0            0
nat_m_lg_dev(1991)            0            0
nat_m_lg_dev(1992)            0            0
nat_m_lg_dev(1993)            0            0
nat_m_lg_dev(1994)            0            0
nat_m_lg_dev(1995)            0            0
nat_m_lg_dev(1996)            0            0
nat_m_lg_dev(1997)            0            0
nat_m_lg_dev(1998)            0            0
nat_m_lg_dev(1999)            0            0
nat_m_lg_dev(2000)            0            0
nat_m_lg_dev(2001)            0            0
nat_m_lg_dev(2002)            0            0
nat_m_lg_dev(2003)            0            0
nat_m_lg_dev(2004)            0            0
nat_m_lg_dev(2005)            0            0
nat_m_lg_dev(2006)            0            0
nat_m_lg_dev(2007)            0            0
nat_m_lg_dev(2008)            0            0
nat_m_lg_dev(2009)            0            0
nat_m_lg_dev(2010)            0            0
nat_m_lg_dev(2011)            0            0
nat_m_lg_dev(2012)            0            0
nat_m_lg_dev(2013)            0            0
nat_m_lg_dev(2014)            0            0
nat_m_lg_dev(2015)            0            0
nat_m_lg_dev(2016)            0            0
nat_m_lg_dev(2017)            0            0
nat_m_lg_dev(2018)            0            0
nat_m_lg_dev(2019)            0            0
nat_m_lg_dev(2020)            0            0
nat_m_lg_dev(2021)            0            0
nat_m_lg_dev(2022)            0            0
nat_m_lg_dev(2023)            0            0
log_avg_rec      21.0289   0.00024878
rec_devs(1982)   -0.0608834  9.59616e-06
rec_devs(1983)   -0.0868301  7.03696e-05
rec_devs(1984)     0.283536  8.76043e-05
rec_devs(1985)      1.03132  0.000127095
rec_devs(1986)     0.407806  8.95854e-05
rec_devs(1987)     0.376084   0.00013632
rec_devs(1988)     0.030756   8.9721e-05
rec_devs(1989)     0.363784  9.11083e-05
rec_devs(1990)      1.36668  7.34759e-05
rec_devs(1991)      1.70169  7.88026e-05
rec_devs(1992)      1.54788   0.00014866
rec_devs(1993)     0.703641  7.61148e-05
rec_devs(1994)    -0.556998  6.59414e-05
rec_devs(1995)    -0.674238 -2.44485e-05
rec_devs(1996)    -0.361912  9.56791e-05
rec_devs(1997)    -0.336024  0.000246691
rec_devs(1998)    -0.491712   0.00021398
rec_devs(1999)    -0.854279  0.000157635
rec_devs(2000)    -0.638954  0.000117222
rec_devs(2001)     0.222912  0.000127053
rec_devs(2002)     0.290339  9.98862e-05
rec_devs(2003)      0.27799  0.000101132
rec_devs(2004)     0.145521  0.000125085
rec_devs(2005)    -0.519459  0.000109557
rec_devs(2006)     -1.33868  7.91051e-05
rec_devs(2007)    -0.172921  7.30954e-05
rec_devs(2008)     0.727392 -0.000122299
rec_devs(2009)     0.135051 -3.58822e-05
rec_devs(2010)   -0.0648202  8.63464e-06
rec_devs(2011)   -0.0429441  5.95055e-05
rec_devs(2012)     0.039736  8.48704e-05
rec_devs(2013)      0.20426   5.5193e-05
rec_devs(2014)      1.68928 -4.08194e-05
rec_devs(2015)      1.62144  1.86845e-05
rec_devs(2016)      1.32675  0.000118618
rec_devs(2017)     -1.01446  6.84441e-05
rec_devs(2018)     -2.04859  4.04349e-05
rec_devs(2019)     -2.33849  5.71129e-05
rec_devs(2020)     -1.49742  7.70157e-05
rec_devs(2021)    -0.853977  7.84165e-05
rec_devs(2022)     0.833871  7.58228e-05
rec_devs(2023)            0   7.4726e-05
log_m_mu(1)     -1.35304  8.14121e-05
log_m_mu(2)    -0.774265  0.000187867
log_m_mu(3)     -1.18901 -1.85764e-08
prop_rec(1)      14.2476  -2.6569e-05
prop_rec(2)      2.92524  9.44872e-06
log_f     0.137367 -0.000142568
