ParName   Value   Gradient
log_n_imm(1)       22.418 -0.000111245
log_n_imm(2)      22.3598 -0.000187367
log_n_imm(3)      21.9072 -8.93722e-05
log_n_imm(4)      21.3653 -0.000170664
log_n_imm(5)      20.7872  -8.0843e-05
log_n_imm(6)      20.0629  2.18506e-05
log_n_imm(7)      19.4337  3.01879e-05
log_n_imm(8)      19.0697   6.5562e-05
log_n_imm(9)       18.656   0.00011808
log_n_imm(10)      18.2758  3.36961e-05
log_n_imm(11)       17.895  8.43577e-06
log_n_imm(12)      17.5296  4.45729e-05
log_n_imm(13)      17.1872  8.73041e-05
log_n_imm(14)      16.7938  3.84064e-05
log_n_imm(15)      16.0708  6.66616e-06
log_n_imm(16)      14.7919 -1.92204e-06
log_n_imm(17)      13.6132  2.39391e-06
log_n_imm(18)      11.4835  2.11225e-05
log_n_imm(19)      1.22435  1.05094e-06
log_n_imm(20)      1.15332  5.15686e-07
log_n_imm(21)      1.33946 -1.83535e-06
log_n_mat(1)      2.32568  6.49852e-07
log_n_mat(2)      17.1806  2.28389e-06
log_n_mat(3)      18.2357 -8.25606e-06
log_n_mat(4)      18.7538  8.05253e-06
log_n_mat(5)      18.7489  1.04829e-05
log_n_mat(6)      18.8486 -1.12015e-06
log_n_mat(7)      18.6257  2.96712e-06
log_n_mat(8)      18.2849 -2.12912e-05
log_n_mat(9)      17.7439   7.1674e-06
log_n_mat(10)       17.475  1.01385e-05
log_n_mat(11)      17.2445  7.09415e-06
log_n_mat(12)      17.0534  4.26351e-07
log_n_mat(13)      16.8809  3.09464e-06
log_n_mat(14)      16.8179  6.05803e-06
log_n_mat(15)      16.8846 -3.98053e-06
log_n_mat(16)      16.9558 -6.66701e-06
log_n_mat(17)      17.1959  -1.6424e-05
log_n_mat(18)      16.9432  -6.1421e-07
log_n_mat(19)      16.5024 -3.91281e-06
log_n_mat(20)      15.8999  2.29078e-06
log_n_mat(21)      14.9871  5.28496e-06
nat_m_dev(1997)     0.404581  0.000109022
nat_m_dev(1998)     0.178429  0.000185745
nat_m_dev(1999)     0.463453  0.000179657
nat_m_dev(2000)     0.220412  0.000160271
nat_m_dev(2001)     0.472444   8.4495e-05
nat_m_dev(2002)   -0.0151421  7.56141e-05
nat_m_dev(2003)     0.230134  5.54956e-05
nat_m_dev(2004)    -0.343757  6.28442e-05
nat_m_dev(2005)    -0.355636  5.66222e-05
nat_m_dev(2006)    -0.920594  3.15992e-05
nat_m_dev(2007)     -0.56067 -1.77507e-06
nat_m_dev(2008)    0.0295103 -4.11325e-05
nat_m_dev(2009)    -0.254644 -8.03446e-05
nat_m_dev(2010)     0.209755 -0.000190547
nat_m_dev(2011)    -0.246281 -0.000124745
nat_m_dev(2012)     0.167143 -9.33031e-05
nat_m_dev(2013)  -0.00101285 -4.67448e-05
nat_m_dev(2014)    -0.141787 -3.57021e-05
nat_m_dev(2015)     0.181323  -3.3432e-05
nat_m_dev(2016)     0.194869 -6.45889e-05
nat_m_dev(2017)     0.288281 -0.000140126
nat_m_dev(2018)    -0.258427 -6.25354e-05
nat_m_dev(2019)     0.461546   -0.0001297
nat_m_dev(2020)     0.431156 -2.93881e-05
nat_m_dev(2021)     0.707561  3.22354e-05
nat_m_dev(2022)     0.409101  8.12693e-05
nat_m_dev(2023)     -1.95175   1.8659e-06
nat_m_mat_dev(1997)   0.00721803 -4.73103e-06
nat_m_mat_dev(1998)      0.01773  1.97324e-05
nat_m_mat_dev(1999)     0.457205  5.01468e-05
nat_m_mat_dev(2000)     0.321313  5.79958e-05
nat_m_mat_dev(2001)    0.0119465  3.67611e-05
nat_m_mat_dev(2002)     0.170307  4.57439e-05
nat_m_mat_dev(2003)     0.134972  4.18562e-05
nat_m_mat_dev(2004)     0.227623  3.98841e-05
nat_m_mat_dev(2005)     0.262944  2.20132e-05
nat_m_mat_dev(2006)     0.202693   4.0174e-05
nat_m_mat_dev(2007)     0.206355   3.3146e-05
nat_m_mat_dev(2008)     0.517728  3.48834e-05
nat_m_mat_dev(2009)     0.175881  3.03899e-05
nat_m_mat_dev(2010)     -0.26912  1.55474e-05
nat_m_mat_dev(2011)     0.245919  2.86091e-06
nat_m_mat_dev(2012)     0.527641 -4.08474e-05
nat_m_mat_dev(2013)    0.0386302  2.16167e-05
nat_m_mat_dev(2014)     0.341828 -1.80342e-06
nat_m_mat_dev(2015)    -0.453986  2.75807e-05
nat_m_mat_dev(2016)     0.265828 -6.33881e-06
nat_m_mat_dev(2017)    -0.266231  1.20938e-05
nat_m_mat_dev(2018)    0.0274105   2.1514e-05
nat_m_mat_dev(2019)    0.0388814 -3.17158e-05
nat_m_mat_dev(2020)  -0.00281143 -1.41329e-06
nat_m_mat_dev(2021)     0.181978  3.66784e-06
nat_m_mat_dev(2022)     0.184477  3.83989e-05
nat_m_mat_dev(2023)     -3.57436 -1.18844e-07
nat_m_lg_dev(1997)            0            0
nat_m_lg_dev(1998)            0            0
nat_m_lg_dev(1999)            0            0
nat_m_lg_dev(2000)            0            0
nat_m_lg_dev(2001)            0            0
nat_m_lg_dev(2002)            0            0
nat_m_lg_dev(2003)            0            0
nat_m_lg_dev(2004)            0            0
nat_m_lg_dev(2005)            0            0
nat_m_lg_dev(2006)            0            0
nat_m_lg_dev(2007)            0            0
nat_m_lg_dev(2008)            0            0
nat_m_lg_dev(2009)            0            0
nat_m_lg_dev(2010)            0            0
nat_m_lg_dev(2011)            0            0
nat_m_lg_dev(2012)            0            0
nat_m_lg_dev(2013)            0            0
nat_m_lg_dev(2014)            0            0
nat_m_lg_dev(2015)            0            0
nat_m_lg_dev(2016)            0            0
nat_m_lg_dev(2017)            0            0
nat_m_lg_dev(2018)            0            0
nat_m_lg_dev(2019)            0            0
nat_m_lg_dev(2020)            0            0
nat_m_lg_dev(2021)            0            0
nat_m_lg_dev(2022)            0            0
nat_m_lg_dev(2023)            0            0
log_avg_rec        22.59  0.000992945
rec_devs(1997)     0.611144 -4.46915e-05
rec_devs(1998)     0.593991  1.41216e-05
rec_devs(1999)     0.061047 -3.85653e-05
rec_devs(2000)      0.06336 -7.82777e-05
rec_devs(2001)    -0.981846 -5.62114e-05
rec_devs(2002)    -0.805596  8.41674e-05
rec_devs(2003)     -1.33969 -0.000100577
rec_devs(2004)     -1.40954 -0.000110731
rec_devs(2005)     -1.16787 -1.54877e-05
rec_devs(2006)    -0.802507  0.000120617
rec_devs(2007)    -0.476845  0.000238323
rec_devs(2008)    -0.829596  0.000180611
rec_devs(2009)    -0.299503  0.000277856
rec_devs(2010)    -0.534596  0.000126884
rec_devs(2011)    -0.592897  5.86941e-05
rec_devs(2012)    -0.685183  4.31258e-05
rec_devs(2013)    -0.565929  0.000191851
rec_devs(2014)    -0.467458  6.93125e-05
rec_devs(2015)    0.0979532  0.000153359
rec_devs(2016)     -0.23067  0.000137658
rec_devs(2017)     0.223382  0.000192375
rec_devs(2018)     0.372303 -3.70957e-05
rec_devs(2019)     0.517509 -8.34541e-06
rec_devs(2020)     0.788542  3.64728e-05
rec_devs(2021)     0.420023  1.05243e-05
rec_devs(2022)    -0.263719  2.68447e-05
rec_devs(2023)            0  2.37532e-05
log_m_mu(1)    -0.825803 -0.000496159
log_m_mu(2)   -0.0342182  9.99163e-05
log_m_mu(3)   -0.0342182  1.53603e-06
prop_rec(1)      13.8472   -2.489e-05
prop_rec(2)      2.47227 -0.000148293
log_f     -1.36618   0.00057931
f_dev(1997)    -0.219823 -9.83961e-06
f_dev(1998)    -0.441795  4.87678e-05
f_dev(1999)    -0.579576 -8.87433e-05
f_dev(2000)    -0.558804 -0.000179666
f_dev(2001)    -0.599948 -5.39018e-05
f_dev(2002)    -0.132537 -7.29309e-05
f_dev(2003)     -0.48031 -2.76709e-05
f_dev(2004)    0.0264024  -6.5872e-05
f_dev(2005)     0.203533 -7.69177e-05
f_dev(2006)     0.218484 -4.94102e-05
f_dev(2007)    0.0968161 -9.25716e-05
f_dev(2008)     0.275736 -9.20516e-05
f_dev(2009)     0.223369 -9.08856e-05
f_dev(2010)    -0.994061 -3.12441e-05
f_dev(2011)     -1.24317  4.22474e-05
f_dev(2012)    -0.242515  7.91058e-05
f_dev(2013)     0.237374  3.68289e-05
f_dev(2014)    0.0582402  1.06494e-05
f_dev(2015)     0.106528 -3.10075e-05
f_dev(2016)    -0.120915 -2.39337e-05
f_dev(2017)     0.915123 -5.51288e-05
f_dev(2018)     0.255684  -3.5981e-05
f_dev(2019)     0.550412 -2.72424e-06
f_dev(2020)     0.262549   3.6454e-05
f_dev(2021)     0.312498  3.81901e-05
f_dev(2022)      0.72772 -0.000101737
f_dev(2023)      1.14299 -4.87752e-05
fish_ret_sel_50      104.292  -0.00042255
fish_ret_sel_slope     0.211859 -3.03476e-05
fish_tot_sel_50      91.5529 -0.000204331
fish_tot_sel_slope     0.286121 -0.000170106
surv_omega     0.561058  1.76276e-05
surv_alpha1      0.20776 -0.000138333
surv_beta1      86.4065  0.000178881
surv_alpha2    0.0824532 -0.000563368
surv_beta2      70.3876  0.000114572
