
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 2.2987237e+05; maximum gradient component mag 3.0513e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.00325 -3.45145e+02 |  2  0.00657 -5.39830e+02 |  3  0.01100 -6.37467e+02
  4  0.02272 -8.00348e+02 |  5  0.04068 -8.73062e+02 |  6  0.04010 -6.45874e+02
  7  0.03662 -4.53092e+02 |  8  0.04735 -3.26699e+02 |  9  0.02544 -7.62359e+01
 10  0.00615  1.88795e+01 | 11  0.00570  9.08799e+01 | 12  0.00739  1.35765e+02
 13  0.00576  1.51799e+02 | 14  0.00534  1.65262e+02 | 15  0.00450  2.07243e+02
 16  0.00390  2.37788e+02 | 17  0.00370  2.41610e+02 | 18  0.00364  2.31148e+02
 19  0.00363  2.17250e+02 | 20  0.00362  2.05939e+02 | 21  0.00362  1.97982e+02
 22  0.00000 -4.63429e+00 | 23  0.00008 -1.76682e+01 | 24  0.00027 -4.37105e+01
 25  0.00110 -1.43006e+02 | 26  0.00173 -2.18506e+02 | 27  0.00260 -3.06636e+02
 28  0.00290 -3.07497e+02 | 29  0.00362 -2.94946e+02 | 30  0.00321 -3.11628e+02
 31  0.00489 -2.98736e+02 | 32  0.01296 -2.81349e+02 | 33  0.02173 -1.66644e+02
 34  0.00524 -9.20031e+01 | 35  0.00487 -2.91018e+01 | 36  0.00472  5.56714e+00
 37  0.00475  1.90475e+01 | 38  0.00552 -2.12127e+01 | 39  0.00528  3.46892e+01
 40  0.00413  9.33014e+01 | 41  0.00286  1.59527e+02 | 42  0.00191  2.36905e+02
 43  0.12895  3.05125e+06 | 44  0.07014  1.45705e+05 | 45  0.00216  8.47399e+03
 46  0.00207  1.00765e+04 | 47 -0.00450  1.08190e+03 | 48  0.00410  1.06100e+04
 49 -0.00722  4.91545e+03 | 50 -0.01359  6.23457e+03 | 51 -0.02139  6.54882e+03
 52 -0.02799  7.68302e+03 | 53 -0.04237  2.65038e+02 | 54 -0.05535 -1.01436e+04
 55 -0.03790 -4.07752e+03 | 56 -0.00198  1.62481e+04 | 57  0.00762  2.24800e+04
 58 -0.00337  9.51359e+03 | 59 -0.00330  4.07321e+03 | 60  0.00423  6.00662e+03
 61  0.02109  1.88549e+04 | 62  0.01587  8.71308e+03 | 63  0.01795  7.99475e+03
 64  0.00691 -8.35705e+03 | 65  0.01710 -1.63953e+04 | 66  0.03310 -3.15908e+04
 67  0.01280 -5.19599e+04 | 68  0.00585 -5.60738e+04 | 69  0.00056 -5.80778e+04
 70  0.00000 -5.91456e+04 | 71 -0.05626 -5.90656e+05 | 72  0.03595 -1.39279e+05
 73 -0.03014 -3.50752e+01 | 74 -0.64680  1.97081e+03 | 75 -0.64680  3.10150e+04
 76  0.01125  3.21946e+05 | 77 -0.02946 -1.04118e+04 | 78 -0.02055 -1.13702e+04
 79  0.03241 -8.23943e+03 | 80  0.01195  3.93781e+03 | 81 -0.01118  3.44323e+03
 82  0.00629 -2.36455e+03 | 83 -0.01109  2.91810e+03 | 84  0.00473  9.41231e+02
 85  0.00517  3.87671e+02 | 86  0.00576 -8.59552e+02 | 87  0.00218  3.45958e+02
 88  0.00616 -5.99083e+02 | 89  0.01223 -1.82559e+03 | 90 -0.02670  5.13856e+03
 91 -0.03561  6.91348e+03 | 92 -0.00618  3.22048e+03 | 93  0.00702  1.65535e+03
 94 -0.00176  1.74566e+03 | 95  0.00293  1.81381e+03 | 96 -0.01182  4.35941e+03
 97  0.02115 -8.31762e+02 | 98  0.00150  1.59622e+03 | 99  0.01715 -6.12997e+02
100  0.00606  1.62175e+03 |101  0.00341  2.90300e+03 |102  0.00864  6.10925e+03
103 -0.00041 -1.19258e+04 |104  0.08844 -3.23902e+04 |105 -0.90724 -1.76346e+04
106  0.25190 -8.91954e+02 |107 -0.87921  1.67229e+04 |108 -0.52475 -3.39208e+04

Intermediate statistics: 108 variables; iteration 20; function evaluation 34; phase 1
Function value 1.3865281e+04; maximum gradient component mag 5.0574e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.28010 -2.37947e+02 |  2  0.45485  1.81327e+02 |  3  0.55091  2.21912e+03
  4  0.48218  1.15647e+03 |  5  0.31772 -1.05417e+02 |  6  0.35602  3.98983e+02
  7  0.33141  4.87656e+02 |  8  0.37858  2.08183e+03 |  9  0.28662  5.00649e+02
 10  0.26163  4.35745e+02 | 11  0.25122  4.70410e+02 | 12  0.24722  5.72947e+02
 13  0.23776  6.63665e+02 | 14  0.22317  6.55313e+02 | 15  0.20130  5.67985e+02
 16  0.18162  4.45952e+02 | 17  0.17076  3.88724e+02 | 18  0.16322  4.16526e+02
 19  0.15684  4.08061e+02 | 20  0.15104  3.98512e+02 | 21  0.14641  3.88928e+02
