ParName   Value   Gradient
log_n_imm(1)      23.0229  2.13852e-05
log_n_imm(2)      22.6152  2.12352e-05
log_n_imm(3)      22.5355  2.30193e-05
log_n_imm(4)      22.0733  1.90415e-05
log_n_imm(5)      21.5173  2.44156e-05
log_n_imm(6)      21.3891  1.92351e-05
log_n_imm(7)      20.7326  7.70033e-06
log_n_imm(8)       20.003  5.43021e-06
log_n_imm(9)      19.4804  5.02285e-06
log_n_imm(10)      18.5687  1.10374e-05
log_n_imm(11)      17.9223  5.24468e-06
log_n_imm(12)      16.2275 -4.77929e-06
log_n_imm(13)      14.7431 -2.46971e-06
log_n_imm(14)      14.0151  3.73424e-06
log_n_imm(15)      12.3404 -1.73272e-07
log_n_imm(16)      1.07894 -6.50765e-09
log_n_imm(17)      1.06803 -2.92616e-09
log_n_imm(18)      10.5678  4.21136e-07
log_n_mat(1)      21.4442 -1.40726e-07
log_n_mat(2)      21.2676 -1.48767e-06
log_n_mat(3)      21.1148  4.43101e-06
log_n_mat(4)      20.8191 -1.25141e-06
log_n_mat(5)      20.4104 -4.44539e-07
log_n_mat(6)      20.3091  1.07724e-07
log_n_mat(7)      20.0529 -4.07792e-06
log_n_mat(8)      19.8169 -8.30679e-07
log_n_mat(9)      19.5869  1.03382e-05
log_n_mat(10)      19.3487  1.43466e-06
log_n_mat(11)       19.163  2.28142e-06
log_n_mat(12)       18.748 -2.59226e-05
log_n_mat(13)      18.2219 -2.51063e-05
log_n_mat(14)      17.6698  -1.3558e-05
log_n_mat(15)      16.8303 -7.51346e-06
log_n_mat(16)      15.8816 -4.53923e-06
log_n_mat(17)      14.9107  8.82005e-08
log_n_mat(18)      13.5139  6.14999e-07
nat_m_dev(1995)     0.328014 -3.58321e-05
nat_m_dev(1996)     0.604405 -6.42038e-05
nat_m_dev(1997)    -0.182971 -2.51064e-05
nat_m_dev(1998)      0.77138 -5.33838e-05
nat_m_dev(1999)    -0.274356  1.76427e-06
nat_m_dev(2000)     0.241828 -1.43041e-06
nat_m_dev(2001)     0.529615 -2.00237e-05
nat_m_dev(2002)     0.284203 -1.85536e-05
nat_m_dev(2003)      0.11336 -7.78489e-06
nat_m_dev(2004)     0.621457 -1.72451e-05
nat_m_dev(2005)    -0.305505 -2.72266e-06
nat_m_dev(2006)     0.435066 -1.87117e-06
nat_m_dev(2007)     -0.80552  8.80735e-06
nat_m_dev(2008)     0.029209  1.19645e-05
nat_m_dev(2009)     0.348277  1.89335e-05
nat_m_dev(2010)     0.199838   1.3253e-05
nat_m_dev(2011)    -0.169911  3.26643e-06
nat_m_dev(2012)     -1.01182  5.60136e-06
nat_m_dev(2013)    -0.713215  5.92394e-06
nat_m_dev(2014)     0.737068  3.45794e-05
nat_m_dev(2015)    -0.629887  1.74215e-05
nat_m_dev(2016)    -0.315306  2.28736e-05
nat_m_dev(2017)     0.150507  4.55733e-05
nat_m_dev(2018)     -1.07972  1.41561e-05
nat_m_dev(2019)    -0.752609  1.78019e-05
nat_m_dev(2020)     0.331027  3.75003e-05
nat_m_dev(2021)     0.283817  1.82522e-05
nat_m_dev(2022)     0.408352  8.48102e-06
nat_m_dev(2023)    -0.176605 -4.84383e-06
nat_m_mat_dev(1995)     0.613442  1.18337e-05
nat_m_mat_dev(1996)    0.0625568   -1.066e-05
nat_m_mat_dev(1997)       0.1565 -1.75687e-05
nat_m_mat_dev(1998)      1.00265 -5.08115e-05
nat_m_mat_dev(1999)    0.0574206 -6.35327e-06
nat_m_mat_dev(2000)     0.377973  1.83261e-06
nat_m_mat_dev(2001)     0.263609 -2.16294e-06
nat_m_mat_dev(2002)    0.0747448  -4.6215e-07
nat_m_mat_dev(2003)    -0.637431 -2.27266e-06
nat_m_mat_dev(2004)    -0.505674 -4.64822e-06
nat_m_mat_dev(2005)    -0.547877  3.20441e-06
nat_m_mat_dev(2006)    -0.541143  2.24788e-06
nat_m_mat_dev(2007)   -0.0733691 -2.84639e-06
nat_m_mat_dev(2008)     0.506174 -1.22408e-05
nat_m_mat_dev(2009)      0.34784  3.42579e-06
nat_m_mat_dev(2010)       0.4677  5.59856e-06
nat_m_mat_dev(2011)    -0.372925 -4.61824e-06
nat_m_mat_dev(2012)    -0.476783  1.43105e-06
nat_m_mat_dev(2013)     0.124476  2.29399e-06
nat_m_mat_dev(2014)     0.390662 -7.31037e-06
nat_m_mat_dev(2015)     -1.13773  1.30552e-06
nat_m_mat_dev(2016)    -0.909054  4.09305e-06
